HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
Empoli,Napoli,2,1,H,1,1
Frosinone,Parma,3,2,H,2,1
Genoa,Inter,0,4,A,0,2
Roma,Fiorentina,2,2,D,1,1
Spal,Lazio,1,0,H,0,0
Torino,Sampdoria,2,1,H,2,0
Atalanta,Bologna,4,1,H,4,0
Sassuolo,Chievo,4,0,H,2,0
Juventus,Milan,2,1,H,0,1
Parma,Torino,0,0,D,0,0
Sampdoria,Roma,0,1,A,0,0
Cagliari,Spal,2,1,H,1,1
Fiorentina,Frosinone,0,1,A,0,0
Inter,Atalanta,0,0,D,0,0
Lazio,Sassuolo,2,2,D,0,0
Napoli,Genoa,1,1,D,1,1
Udinese,Empoli,3,2,H,3,2
Bologna,Chievo,3,0,H,0,0
Milan,Lazio,1,0,H,0,0
Roma,Udinese,1,0,H,0,0
Spal,Juventus,2,1,H,0,1
Chievo,Napoli,1,3,A,0,1
Fiorentina,Bologna,0,0,D,0,0
Frosinone,Inter,1,3,A,0,2
Sampdoria,Genoa,2,0,H,1,0
Sassuolo,Parma,0,0,D,0,0
Torino,Cagliari,1,1,D,0,0
Atalanta,Empoli,0,0,D,0,0
Lazio,Udinese,2,0,H,2,0
Bologna,Sampdoria,3,0,H,0,0
Cagliari,Frosinone,1,0,H,1,0
Empoli,Spal,2,4,A,1,2
Genoa,Torino,0,1,A,0,0
Inter,Roma,1,1,D,0,1
Juventus,Fiorentina,2,1,H,1,1
Lazio,Chievo,1,2,A,0,0
Parma,Milan,1,1,D,0,0
Udinese,Sassuolo,1,1,D,0,1
Napoli,Atalanta,1,2,A,1,0
Bologna,Empoli,3,1,H,0,1
Inter,Juventus,1,1,D,1,0
Roma,Cagliari,3,0,H,2,0
Chievo,Parma,1,1,D,0,1
Frosinone,Napoli,0,2,A,0,1
Sampdoria,Lazio,1,2,A,0,2
Spal,Genoa,1,1,D,1,0
Torino,Milan,2,0,H,0,0
Atalanta,Udinese,2,0,H,0,0
Fiorentina,Sassuolo,0,1,A,0,1
Juventus,Torino,1,1,D,0,1
Chievo,Spal,0,4,A,0,1
Udinese,Inter,0,0,D,0,0
Empoli,Fiorentina,1,0,H,0,0
Genoa,Roma,1,1,D,0,0
Lazio,Atalanta,1,3,A,1,1
Napoli,Cagliari,2,1,H,0,0
Parma,Sampdoria,3,3,D,1,2
Sassuolo,Frosinone,2,2,D,0,2
Milan,Bologna,2,1,H,1,0
Atalanta,Genoa,2,1,H,0,0
Cagliari,Lazio,1,2,A,0,1
Fiorentina,Milan,0,1,A,0,1
Frosinone,Udinese,1,3,A,0,3
Roma,Juventus,2,0,H,0,0
Sampdoria,Empoli,1,2,A,0,0
Spal,Napoli,1,2,A,0,0
Torino,Sassuolo,3,2,H,0,1
Bologna,Parma,4,1,H,0,0
Inter,Chievo,2,0,H,1,0
Genoa,Cagliari,1,1,D,0,1
Sassuolo,Roma,0,0,D,0,0
Udinese,Spal,3,2,H,3,0
Chievo,Sampdoria,0,0,D,0,0
Empoli,Torino,4,1,H,1,0
Juventus,Atalanta,1,1,D,0,1
Milan,Frosinone,2,0,H,0,0
Napoli,Inter,4,1,H,1,0
Parma,Fiorentina,1,0,H,0,0
Lazio,Bologna,3,3,D,1,0
Bologna,Napoli,3,2,H,2,0
Frosinone,Chievo,0,0,D,0,0
Atalanta,Sassuolo,3,1,H,1,1
Cagliari,Udinese,1,2,A,1,0
Fiorentina,Genoa,0,0,D,0,0
Inter,Empoli,2,1,H,0,0
Roma,Parma,2,1,H,1,0
Sampdoria,Juventus,2,0,H,0,0
Spal,Milan,2,3,A,1,2
Torino,Lazio,3,1,H,0,0
